RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,1772.2333301919691,1785.6658887419717,1803.5192930414544,1817.369007947608,1833.2682691009663,1843.889465376959,1858.6710765292212,1868.2580919145132,1881.2735951311909,1887.031294838528,1894.1174602676256,1900.638747924262,1911.2768433172623,1924.8369657018372,1940.8236160650276,1952.7163954884331,1966.1964370372584,1976.1292360888735,1989.4753033224877,1996.621114397651,2002.4534294513555,2004.3374521688436,2005.786397991346,2010.5999136844664,2025.8767490995504,2042.734170072112,2063.463556039096,2075.9974034739707,2091.542690367406,2101.0657137952767,2112.7531193582804,2117.990052598597,2123.8666555310024,2126.523834711009,2131.9298387421286,2136.520837590687,2147.52689468066,2161.2005825526035,2173.4838982972547,2183.324571772203,2191.998825099304,2205.418880886294,2217.59805571936,2228.503788951685,2233.091340269109,2236.933311058021,2241.905696058001,2247.044281410422,2253.5320210560017,2257.982565098193,2271.8271239417872,2283.5454035083358,2297.0453661553947,2306.3604454022748,2314.792987124209,2321.412692449672,2324.7296579212148,2326.420656973658,2327.6255434924187,2330.8973992097235,2336.2012052136693,2340.5644115176106,2340.8890937578435,2332.205726846836,2323.5719828983706,2318.2827576614177,2319.234144524012,2318.131349384745,2312.454297927397,2308.2535605357075,2306.477096579331,2304.361692170143,2308.5693736797484,2313.3870424145503,2324.500129674337,2334.548344991744,2353.1793616570526,2384.560433025146,2423.684184436112,2467.254546813489,2501.027894401145,2523.468661727968,2536.549884132909,2554.112069442745,2573.615210589962,2600.0847005161463,2622.991643411297,2650.744228415665,2674.062413638137,2695.8039543061727,2715.8904767196814,2732.913336077658,2743.581924100368,2741.6406194908745,2736.2233197343007,2731.2425180339005,2733.861903331808,2740.7503598202525,2754.324968170888,2765.10363969772,2772.459126089129,2777.2761988833777,2782.929814458221,2791.004771421789,2792.469745650673,2791.6512757422547,2782.548309105764,2778.0090373648827,2781.392932830292,2790.9846993097963,2806.5596117833456,2818.3061965057414,2832.959966192901,2843.1721588875685,2855.280775613284,2860.2672250751625,2866.1588783591724,2864.485813319054
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,1435.5028819692704,1444.1738862275924,1455.184770501262,1464.1903566603091,1475.5893965238108,1486.0557273370002,1491.65108685706,1494.5615587529785,1489.2422741596654,1481.235418540835,1471.953808895253,1471.128207373331,1480.1209117727603,1492.3540843583123,1504.7480119955387,1512.6622570232548,1520.1876438469972,1529.3710215456488,1536.4353536132671,1541.344407356417,1534.2082281726944,1522.5459254584905,1508.1440502226385,1501.3864860482583,1508.0499082192298,1523.953607160478,1543.6978663153209,1557.753608317735,1569.2051065113449,1575.6155644348871,1577.6404738569486,1572.6144192837369,1564.9455075309284,1551.8413045544564,1542.2264654870578,1539.3320334022137,1548.5536528986338,1562.633555943714,1576.1043852953285,1587.2186018922112,1597.4154829419724,1606.9872519967662,1612.589006180286,1610.336314402412,1598.303636873045,1584.5696589043682,1575.0295562854756,1575.3059620298172,1584.6188039237309,1596.388415824387,1613.583216325552,1627.2400033709057,1639.8946015409988,1647.0709150675552,1650.7921248452456,1651.8189713486422,1646.7563299524943,1639.264238805663,1629.9825995737856,1624.2918299146409,1632.7248974601505,1645.4883731291068,1660.144673856795,1661.0507855083033,1659.1201867036448,1655.694015435438,1653.0644978764406,1644.147562319749,1625.3839581055695,1598.1600447277222,1574.281129855195,1564.6685899343754,1566.1187892675573,1579.8758478165428,1598.4351384647243,1627.3367294584468,1655.7651552231632,1682.0970073945864,1700.330413575418,1711.6031117925108,1715.486418809517,1713.2328057505729,1711.083782765954,1715.9237544134007,1730.6756976670476,1748.4192682109615,1770.476260538513,1794.3261093151305,1820.783121780514,1841.4156778475144,1857.7153098047909,1864.6960751535155,1863.6909888708203,1858.896016874805,1854.25262822644,1856.165957822864,1864.2022688183088,1878.8255182608325,1896.6750924764208,1916.1663367867584,1938.4201377726224,1957.9479438484311,1969.12975524252,1973.9998463437817,1967.9752979438863,1956.5819002006224,1945.5210352697316,1947.8777348065937,1959.5313172964984,1977.6972098720455,1994.03589455252,2016.505413034298,2035.3292871309925,2052.307490770941,2058.995183566821,2058.7244046548617,2053.4688270134,2050.0462566462006
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1209.2584584726676,1212.0629843144948,1217.7893315602348,1227.9098407865713,1238.053752078136,1246.6338257890884,1247.797935643845,1249.6181808862498,1247.9488141556235,1245.425124242169,1241.7042172645492,1239.2192400131796,1240.6217726527648,1243.232108625517,1249.759112579493,1254.646881122619,1256.9720367969164,1257.0819528720397,1256.4599197261352,1254.4128973889638,1249.6628004189754,1246.705427117351,1241.98117872172,1239.6149889387043,1239.468424706182,1247.2042675232535,1255.7816865759387,1260.102968271324,1267.130690033442,1268.2470632026198,1269.3028294443834,1264.243849981161,1271.0728608939924,1279.6642298496756,1292.1124455398735,1299.5109244086293,1302.1729251383156,1307.3129449581363,1307.7594587117112,1315.6428769331055,1318.2460224095637,1323.6885149449706,1322.9790935164915,1321.3212571891115,1316.8986117611632,1317.999528844797,1320.1958418150268,1321.0819623186496,1320.9641687511655,1318.2647339435775,1324.3749379158958,1329.4315999840212,1339.5632113681415,1346.4613405938535,1350.682775592032,1350.542418011369,1346.9408957421813,1345.9350369409558,1344.769006713639,1348.1635363330547,1350.9288972289555,1357.7565573884826,1363.7565403795024,1360.637798315705,1354.1006381696006,1347.4336441709556,1351.2041761562498,1355.0270223754117,1355.3307113169906,1356.2447041776406,1356.9838677949433,1356.9438852892658,1358.491002162362,1359.7932544190455,1366.8881298140095,1379.2570420553018,1399.5435176301903,1427.2442760504136,1451.699810913294,1474.4593629183246,1487.710227859306,1495.7888236696444,1500.298701452154,1503.0935598788358,1509.3434878103096,1518.7398271962402,1529.6040455680045,1540.736397876262,1552.036248504531,1566.931557821964,1579.5211295042557,1586.4189639206536,1584.432151700192,1579.2622177313,1573.5887776820528,1572.2819585942573,1577.6407842868332,1585.3915478481092,1596.4333814471247,1600.680925257319,1609.5928694338545,1616.68812861299,1623.529266916099,1624.72470556002,1621.2710882616425,1616.7041651524269,1612.7254784903462,1613.0230340115706,1617.7711366871936,1623.5865898625664,1627.669268243328,1634.432534369082,1643.115289725038,1651.85769898616,1656.1037469881148,1659.4031916370775,1660.9900093086696,1661.05080224812
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,946.265038598192,961.6374053905608,969.210160151428,982.8150654624806,983.0429968411522,991.1252662784668,990.9974743072244,992.4170930175188,995.425004082343,998.4442794913814,1002.01971666239,1003.5454151646824,1008.945571995418,1014.5198398936642,1021.7322693000536,1028.7616692541624,1036.3627382043746,1043.4418870452175,1047.6449056369531,1049.5094800472534,1050.8175471051916,1050.5254201258276,1052.057419239333,1052.846749116017,1059.4590637803087,1067.9859434109162,1080.110828627189,1089.7680024300105,1099.6750173300427,1105.977764237485,1111.234003231375,1113.3906981030418,1115.7098706234488,1118.0159745985195,1121.092308396424,1123.4857547071051,1127.7180476972062,1133.6741454251296,1146.0337992884424,1159.8154775952844,1171.718866369176,1180.1948104640771,1186.9748122783906,1193.0145899900397,1198.991858917348,1203.2343759808807,1208.611280060315,1213.931174270662,1218.0767866113183,1227.0945801835303,1237.6615684443086,1253.576589109008,1265.1406124935909,1275.755812519768,1283.6761269136207,1291.1752802447436,1296.072423224595,1299.5886351329186,1304.9010321526196,1313.5687978331446,1323.8052658650386,1334.4110297496825,1339.9315547696704,1339.063996610529,1337.5386857107148,1340.500835521608,1354.1826138668669,1370.398497046767,1386.7103697541186,1401.420585692959,1414.7756275291847,1426.1188551020202,1437.9995518701585,1450.955664088109,1472.6156127582135,1501.6285926961723,1542.922247379142,1590.023116259431,1640.462237969287,1684.378204773859,1717.534843610784,1739.3487031144257,1753.0889452301442,1762.9321742694574,1772.5253281734529,1783.198970233187,1797.2820915652983,1809.6794391499088,1819.1517949080612,1826.4522429222168,1832.0073084819967,1832.4459882629196,1825.150989983468,1814.128575904592,1804.666725273856,1799.5160504826224,1796.2704168145226,1800.89301845238,1814.1060889922355,1822.6143771790569,1827.6171672029743,1826.043402177654,1829.7298032150372,1829.0309287454213,1825.5407599419905,1819.9077877489865,1812.2281879887792,1806.867393664196,1807.7441402086624,1817.532982590984,1829.0108259267065,1838.896814399469,1844.3154282211228,1844.6603588460453,1845.2225782274948,1844.396036896752,1843.6927115905248,1834.3257591812453
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,1677.1755881325537,1688.8492554530435,1698.204232711525,1701.2237634463463,1712.721542725313,1720.8567238861574,1737.863698619983,1748.7930395937892,1757.381558136134,1761.6068314090378,1759.819212021829,1768.0905205396132,1773.5007612592592,1782.4412555404688,1790.7853097422844,1800.2475980048737,1814.6464623807483,1829.6303944125475,1842.7904632815212,1849.923954447709,1852.9661000563576,1854.8841465408275,1855.3207311256213,1857.811838929882,1864.1853139497184,1880.661273833676,1898.746206018263,1917.16018681507,1933.1656020876003,1945.4246542078247,1957.9026405912853,1963.267690358549,1966.9004199478827,1967.0186816617904,1966.9953511984904,1968.8661542622372,1979.2600728054465,1992.009948147151,2006.7227644790808,2017.477551243226,2033.7744288243875,2044.8621212615533,2056.002916358918,2063.0947030305347,2068.7282744733525,2068.935234609053,2064.2741566400064,2066.64107004393,2071.497369138412,2078.977622079632,2084.7142220774163,2095.093245252786,2107.708147596388,2120.2126051747573,2131.829399283511,2139.779297928855,2142.4404227114937,2143.183154883999,2143.7539612628,2148.422850950324,2153.3825472352323,2158.8229084452387,2161.6024518353074,2152.5317976855013,2145.684134434456,2144.792424650799,2155.9292554534195,2165.6658229119403,2177.42589770198,2193.814376311622,2208.197627215437,2218.6846144632564,2225.356848596023,2236.028706111301,2254.4399739330934,2282.9502397371425,2320.6896885815977,2358.453686443758,2408.503734464828,2461.7298137376733,2519.0758313878064,2553.622127452893,2576.1998180135342,2592.4904180870294,2611.909475038938,2640.402343649597,2669.768101083459,2714.993895348902,2759.242983387475,2807.4775651637733,2840.9821535354936,2869.573182319022,2875.785032666994,2869.51513512734,2848.785988890016,2837.8265644617186,2830.8675784928087,2840.348156615033,2865.8391283447045,2897.779899370171,2931.8642752259184,2954.7390035141198,2973.8342634053342,2981.2096416417776,2978.070425391023,2963.1468941031194,2940.836013798575,2922.6146633779504,2915.727434326425,2926.751970890324,2947.220212696393,2973.2953428081564,2992.198022817215,3010.152865724025,3021.397168782487,3024.128523201255,3021.8444446803733,3016.945904838154
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,1941.4716832420795,1952.747065613495,1962.6348799272455,1976.319291603177,1986.75307061155,2000.5048755041075,2011.0792813512105,2023.9481514291424,2026.88426113998,2031.567780863517,2028.5298241829407,2033.4574210174644,2039.435342361933,2049.5932851580187,2055.169268163836,2060.648171999368,2075.9435836579505,2094.125077800152,2106.609202958504,2107.944532043991,2110.8058267865995,2108.5831265790675,2114.880006085697,2109.394884460264,2120.6143737407647,2132.31542975118,2156.229214359796,2172.7659501289813,2181.924688130721,2191.0783585398112,2196.7388472527023,2202.4992582699388,2204.642571989433,2201.619161297694,2204.2213209056504,2206.0702984866666,2216.684610681936,2223.2854988637887,2235.7845129152543,2243.7577881583547,2250.8885544405653,2257.3072581232123,2263.0659233874467,2264.8753970187504,2265.920333382852,2267.8976549782096,2272.861794063499,2276.350325436048,2279.178114780016,2285.7818486755714,2294.775509660686,2302.1020016371267,2312.142446760168,2320.236073402992,2331.322824201882,2334.866590423429,2337.1822305842334,2337.9960120170526,2343.6975414149942,2344.6519273954323,2353.316734114651,2358.9360210551886,2365.365047538767,2348.8330881059605,2332.330616942761,2321.136175285125,,2336.2752472233283,2351.1536779165854,2366.1337360664206,2374.8439526237858,2381.916940384005,2394.8380280116253,2415.9385741302904,2439.393719051494,2459.822033349889,2488.4795785803094,2535.4999722959974,2609.7454584275315,,2777.0098145395355,2822.0140265115688,2845.735578115245,2858.48787780555,2875.563561270269,2894.979899672141,2924.363519722797,2958.4194863355247,2989.553328735308,3018.1396489172166,3039.013811351483,3049.5417009969256,3045.790253248874,3033.918261538939,3018.511527509781,3002.779347985819,2992.0751253507883,2991.6245512387263,3002.78961351364,3018.506567733669,3036.7985255012586,3057.7909854790832,3090.246150675346,3120.658891154505,3133.2172783044166,3132.6443819257456,3117.7197436918505,3116.0792961485104,3114.4642876784324,3124.405334485966,3126.9066450598625,3136.44845308948,3149.428645797675,3170.532883584396,3188.975690239624,3202.2674886728987,3208.295783495695,3210.33766931695
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,2324.9388399192067,2342.28700281886,2365.6419054527505,2384.677982629711,2408.9884824800743,2437.2659368931068,2455.1379485276448,2466.001196010008,2480.7044007603795,2491.753834885045,2483.350928134221,2459.693590692824,2446.6126380834125,2451.1083110722934,2466.1226699363046,2473.2348282785583,2479.284538662018,2490.6550265087194,2508.4089756586222,2524.7673938822118,2532.0506038033704,2529.687128923053,2531.3466945476443,2517.9868917091235,2508.323463996208,2497.064559415359,2501.8152421504456,2515.699664808161,2528.5791072174075,2544.5847787186835,2561.348304449465,2575.861876854179,2575.473560733866,2557.0406438152672,2536.4346977730147,2523.393294200043,2523.1374766652743,2525.465172561997,2538.751086064581,2556.779261362277,2575.3538661128728,2590.755715602741,2601.5247807368823,2611.9631173835774,2614.0133824613704,2605.104979555301,2591.266658550507,2573.5198769864646,2576.741649594164,2589.537661470128,2616.0298453330065,2633.533962540279,2657.2369283279068,2674.145641300088,2698.459967406007,2714.117718163846,2729.3423896714644,2732.684199089448,2729.991822252902,2721.8023736344144,2720.411908482772,2729.028423467912,2745.082305448632,2739.7195657061056,2720.4250116873027,2688.105446144167,2664.2150356038383,2627.79084932484,2579.876588179398,2534.6690583809013,2501.257234050573,2483.3058451738293,2475.7418746552607,2482.713544821403,2503.1823307255954,2536.201528225092,2575.7438161435625,2628.467949947339,2683.4734822304035,2738.845186559749,2787.1094380532872,2812.972976449494,2834.96210164217,2843.6462333815043,2874.263642785397,2908.822220081609,2960.7012212318223,3006.574418678109,3069.844378021646,3132.971325422076,3195.7543634371464,3235.181925259103,3246.3006401261696,3236.9778272277435,3198.18094347301,3165.2988089312494,3154.5413877288565,3168.417669634553,3191.146378933452,3220.734590051629,3257.0980100136326,3299.822346490276,3328.114187343991,3346.3231241184444,3352.0794707779582,3336.0357453179117,3296.39480919385,3267.918995157919,3265.547940835759,3291.4385603534383,3320.801273342915,3347.942176260117,3387.522843790932,3423.9194050960587,3450.058536015289,3450.8455351890198,3437.151086897888,3415.2639984332377
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,1652.4225631154304,1663.5204808248511,1675.9841136579005,1686.083552719411,1696.7378663858103,1704.3352356707685,1712.544767207453,1718.896781577322,1726.8683764591196,1728.8375525223362,1735.390150695952,1739.8124206965051,1746.7935230524588,1750.4704487716624,1754.1952239851405,1753.907603652424,1753.20898348497,1750.3705006380414,1751.054392605672,1748.1084856668745,1748.1110760056577,1745.3272488948794,1743.0886228769375,1738.201706598957,1743.4095438218142,1749.526670727126,1759.6598092136928,1760.884273221784,1763.8948440052582,1764.965960262129,1766.2527602414789,1768.9452878126408,1771.9964506168444,1776.3030535598623,1776.1038238206313,1776.5874892637748,1778.812923851625,1783.6853750497166,1788.834569414811,1794.194431396943,1797.7108398985124,1803.2690471878695,1807.3929540614683,1813.1448746787123,1815.9591100789848,1820.0433537770875,1822.4830706340667,1825.8610344698168,1827.3080923153727,1825.3804682884452,1828.3942738740493,1833.138226202946,1841.2070755719983,1844.7212471204557,1845.436184338844,1847.5879770744232,1849.07161228776,1857.532653070739,1867.4607382986608,1877.159261580067,1880.4481417979212,1883.037442871007,1881.290768298008,1871.273204101385,1857.341334656723,1852.5830651565304,1855.6136536829847,1857.241185327642,1852.934267768597,1856.621819032096,1871.0329948534516,1889.7477551175357,1914.5331665843232,1950.0406356221747,1988.3390832217008,2030.763857169461,2073.6475249677524,2129.8226100782344,2198.275162453078,2263.2535744232964,2321.8127160561367,2366.476646447007,2411.0582187852747,2464.2822531162683,2513.397729800149,2577.565650002192,2635.121010144092,2699.113882319698,2745.760433291056,2781.111086843652,2805.943103744225,2816.740137076651,2825.2437651800205,2820.3394823155377,2817.056728469512,2818.59202222477,2822.144904215118,2831.2695341901835,2841.5529576201848,2856.043627467122,2861.989320309506,2862.132146784959,2860.590035486515,2856.1769346749857,2852.694365220645,2851.878637288158,2859.1624295799006,2858.9090306775315,2861.804361457388,2872.66956500718,2893.905064406332,2912.6078605245843,2921.890170606771,2922.332964119997,2924.9343382130164,2923.745431052365,2929.114517634601,2928.166533936372
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1060.1102120584803,1062.474141005276,1069.1933581875958,1084.4803363915205,1097.3609202988166,1106.979212627601,1115.083887348257,1118.7811716541753,1120.8988876544006,1121.6391431106406,1125.983804768228,1129.6357498806426,1132.2443729830677,1136.474628358464,1143.4210907922445,1154.2153657061172,1162.989386986923,1172.9109967447466,1176.1585495790168,1180.3580158588643,1180.8188708729128,1186.1800278832332,1189.2585649568832,1193.2165568554822,1200.1073540228235,1204.1016009231423,1215.0912613396274,1223.3076826144877,1236.628277595701,1241.7162372130776,1246.334487370042,1245.6944217410694,1245.4977537838283,1242.6652676883568,1250.3361610687882,1254.3629714159265,1259.286036772472,1264.727075664694,1267.3481081440846,1271.5922572332909,1271.0913916967552,1282.8479403967026,1288.56781484405,1292.9661872885376,1286.035738172278,1288.0958524006653,1289.815725100783,1293.668536055329,1298.8501188276202,1301.7205820139154,1311.7451925046034,1319.2409665649764,1327.712682588276,1339.3542513433313,1341.752605517236,1345.6053089828397,1343.714322090589,1342.706349716691,1338.102611874236,1330.8910499017552,1335.1325640489606,1341.3605183106022,1349.1858405103778,1345.8791694586455,1342.1077501469665,1340.351862031098,1341.671312300363,1344.2994783450035,1346.204079160286,1349.2069122878052,1348.7985908457715,1351.2148326415047,1354.593800916251,1365.030994907709,1373.9720754445952,1392.180572200574,1415.0864589539065,1448.5852803016378,1483.1614700081952,1514.4847157738038,1537.5563407963332,1550.163173596137,1560.090132655992,1567.2071379662766,1579.1057018996696,1594.708566138918,1608.1346658862526,1628.3226408755932,1650.1237886756749,1684.797339198568,1706.9462882035675,1715.702578155249,1709.6839160002212,1693.4397865077542,1681.495125334447,1669.889397939969,1668.8168417460502,1670.282211826364,1679.9476792267678,1686.5924576953444,1694.5134718576237,1699.9669011686628,1706.5605450978085,1707.415211177595,1702.117960519093,1695.296859147197,1690.2620260617823,1684.9732648482884,1682.7768262208072,1678.8075244067431,1678.4777252404494,1679.4058775948945,1687.1730903774244,1697.3923208649098,1706.6914360102517,1712.1722204503378,1708.1912341425873,1701.8416806207078
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,1381.9998190130657,1384.0651868306709,1386.4817025378495,1393.8241678607342,1401.4995432275982,1413.17991509461,1422.7410102758215,1427.7911830049793,1434.3210142534429,1441.946540902156,1448.710488314221,1452.6621499672915,1451.7496038766762,1459.5894851070598,1462.494473415716,1463.557880958621,1467.6380782078936,1474.198907420603,1486.011614670292,1491.0801186261808,1504.3709187311713,1506.6441826007956,1514.133365184117,1511.0675445514344,1526.535544600884,1537.2002411979304,1551.028708069216,1561.966697524678,1569.870772254112,1581.6008779400488,1589.8077669874929,1601.8213761620405,1606.874741709005,1612.1859203813578,1616.7348308818327,1620.0315095061706,1627.5610804297762,1638.133056560166,1649.6877866864145,1653.2451082861344,1655.9460299140771,1663.7370646096747,1674.1579500031132,1684.610084311945,1695.539818318307,1707.074170385384,1714.3329962723774,1719.4371154321127,1719.7459629451878,1721.68946803025,1729.124326830569,1740.428997213544,1752.3880608172278,1760.057026383446,1769.2007204684196,1779.0279581431314,1784.8015411763422,1790.9709884158142,1793.809689718483,1799.594695881311,1802.4139777444827,1810.260670276272,1814.2552850066863,1810.834733940358,1805.1603931990364,1813.9414031265817,1836.5523673415876,1868.5535592071767,1897.5784682708927,1924.7444359856063,1948.849148258767,1969.29977201312,1992.2858845235492,2016.1495500014264,2042.6851255173783,2059.2320972997904,2094.263077113349,2131.50657964782,2189.213092353926,2234.1082788347026,2276.827383483166,2296.747686063358,2315.7708160394404,2319.105052496647,2341.0454878064006,2355.397906240082,2392.298478335256,2418.624690135478,2439.8577040823207,2454.7426666522106,2467.13418946776,2480.500748752743,2487.751154165821,2483.211721539879,2473.280398021041,2465.464275559854,2468.3047006482534,2475.754214871421,2485.246780499994,2491.8158721033474,2497.851373752644,2498.0540839040746,2501.645705707923,2511.938433432481,2518.3663381708025,2538.8516711085445,2537.649664636601,2543.8094592984166,2531.1352423668664,2547.1448013415825,2555.533413048221,2572.062618627926,2580.7014321307943,2584.6606304564225,2598.1366135879325,2601.8946103405383,2621.4540831630047,2621.8326633667725
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,2016.4676102093372,2029.1132537434491,2037.639834229828,2039.148065695312,2052.9822359609047,2063.2158758905352,2096.822416240259,2117.66167342509,2131.677549691336,2130.665746772526,2125.829869051567,2130.101238818963,2128.6955232395703,2129.607442483398,2124.265700212584,2133.024507692133,2144.8866668487804,2162.9197613272863,2174.882792668277,2180.425705358125,2188.391654085804,2197.087355163369,2201.210304912412,2188.1386010200385,2180.3023748589376,2179.276612736257,2193.3028335584013,2198.861905538994,2208.94062430677,2221.5019090018245,2237.913265156974,2243.1775354254314,2240.126820932309,2223.8903664488166,2203.330811501905,2180.268915712289,2178.651768211222,2182.038208846161,2199.096775716967,2212.70712313422,2231.1219666263723,2247.098065653725,2261.0111348862697,2278.2092787434767,2284.1035357791343,2274.2993344730617,2264.591238422022,2260.9589186858343,2263.436575324109,2269.970151481444,2269.739114332883,2282.021531320589,2299.876880534076,2333.60910624972,2350.327118512609,2356.919106036816,2347.582450961815,2351.6586140601157,2339.5701429174487,2331.514864392768,2325.7355903724783,2338.0171036463325,2339.851127041671,2331.492833484062,2326.5097420393317,2324.60032161609,2324.0927957756207,2304.347916900881,2278.5749521175526,2262.1323079624462,2251.846681693047,2252.593673404168,2244.1576246944205,2241.344321909481,2236.11305934033,2238.381049454966,2244.311110471588,2262.579142711929,2291.4220328324145,2328.9062703881687,2350.9879731628607,2375.409773212197,2391.065636785998,2419.2197970235025,2423.690509295214,2437.7881281009763,2446.929554373561,2476.47475816164,2508.223470992949,2549.970365380259,2589.9314915362443,2624.989375649773,2647.3424530401026,2648.3390898253224,2640.489983752768,2635.5285250454863,2635.6685822008576,2642.288790793385,2647.415694340212,2668.962834506261,2692.4852477686486,2717.136986120852,2744.013399794476,2757.78226904446,2762.3804203734994,2760.129970020547,2748.822745583791,2759.5234471846484,2757.606309489609,2777.4862535912084,2795.229672988336,2820.745821378651,2838.7794959423177,2852.9095370588857,2872.2227410474507,2884.246886641792,2883.7580772994,2875.9144417772386
207,11,King County,county,WA,WA,"Seattle-Tacoma-Bellevue, WA",53,33,1494.0382397614949,1506.6362354457003,1529.1647911223986,1539.7151596591957,1558.482044354155,1574.8834707559415,1594.278825594113,1603.8141551136086,1607.390067568244,1607.6654598355033,1589.1215988764225,1590.0781211110357,1597.8311874799767,1627.7770404703274,1637.0421928073506,1655.1455863073606,1678.7401607942795,1705.4466189139184,1722.1140489101065,1722.2335740642718,1719.275114036028,1710.7774962322776,1700.8378316778603,1698.4288413890065,1707.563544175206,1731.0061740360138,1755.846751645277,1776.2616722967657,1796.987086983238,1814.1519049606145,1825.888150496956,1828.936811539404,1821.9137113605088,1808.404464034866,1787.952110814961,1779.3933247451637,1782.460464735359,1795.8388185007316,1809.7834866258063,1824.8800030715652,1842.785124198157,1859.4835144901167,1867.4009174675737,1865.576002110184,1855.5372282006847,1842.0612432729383,1835.039552178712,1833.7004440334124,1841.467646820063,1853.404034810304,1868.7976058777328,1886.9107501665271,1901.8532727201336,1917.5314881642496,1928.810584567883,1935.548873502138,1933.1664099466643,1923.2361890970392,1915.936805043911,1918.234700673452,1933.560625364723,1949.3593403023788,1969.752787332755,1968.6879452006292,1962.47361168565,1946.1198986791028,1942.1710224492872,1931.3293138907168,1904.8351540874191,1864.8686296847688,1824.096578775426,1794.378102551833,1791.4763096744732,1804.1070042503015,1832.4747167734663,1865.630030746569,1910.985475190507,1963.4969056675425,2016.8709502157803,2060.710136545505,2086.6890026453025,2087.550661852253,2078.163821607761,2069.136437699747,2074.7193692587944,2092.381318370742,2119.445493142814,2148.035633961603,2181.8315133442843,2217.112700534537,2247.2400639363486,2257.318404467373,2246.5185264047914,2220.4347991806503,2186.555495223135,2162.9705600640664,2154.994803342349,2164.8536976120763,2185.0222528974127,2197.935564262706,2216.264278037005,2229.3765000099875,2245.214485920141,2252.8919087893964,2247.800215885263,2232.253238733473,2213.561222220077,2205.2544861618626,2213.562478027897,2228.612359698597,2249.543035153909,2269.471707026825,2292.1229976665413,2308.3688577711,2320.540597282571,2320.1385615435765,2315.3844379052475,2303.1913086391664
